column,dtype,na_frac
CULTIR_2000,float64,0.0
CULTRF_2000,float64,0.0
CULT_2000,float64,0.0
FOR_2000,float64,0.0
GRS_2000,float64,0.0
GloElev_5min,float64,0.08888888888888889
GloSlopesCl1_5min,float64,0.15555555555555556
GloSlopesCl2_5min,float64,0.08888888888888889
GloSlopesCl3_5min,float64,0.08888888888888889
GloSlopesCl4_5min,float64,0.08888888888888889
GloSlopesCl5_5min,float64,0.17777777777777778
GloSlopesCl6_5min,float64,0.25555555555555554
GloSlopesCl7_5min,float64,0.4
GloSlopesCl8_5min,float64,0.43333333333333335
LAT,float64,0.0
LON,float64,0.0
MONTH,int64,0.0
NVG_2000,float64,0.0
PRECTOTCORR,float64,0.0
PRECTOTCORR__lag1,float64,0.0034129692832764505
PRECTOTCORR__lag2,float64,0.006825938566552901
PRECTOTCORR__lag3,float64,0.010238907849829351
PRECTOTCORR__roll3m,float64,0.006825938566552901
PRECTOTCORR__roll6m,float64,0.017064846416382253
PRECTOTCORR__z,float64,0.0
PS,float64,0.0
PS__lag1,float64,0.0034129692832764505
PS__lag2,float64,0.006825938566552901
PS__lag3,float64,0.010238907849829351
PS__roll3m,float64,0.006825938566552901
PS__roll6m,float64,0.017064846416382253
PS__z,float64,0.0
QV2M,float64,0.0
QV2M__lag1,float64,0.0034129692832764505
QV2M__lag2,float64,0.006825938566552901
QV2M__lag3,float64,0.010238907849829351
QV2M__roll3m,float64,0.006825938566552901
QV2M__roll6m,float64,0.017064846416382253
QV2M__z,float64,0.0
RH2M,float64,0.0
RH2M__lag1,float64,0.0034129692832764505
RH2M__lag2,float64,0.006825938566552901
RH2M__lag3,float64,0.010238907849829351
RH2M__roll3m,float64,0.006825938566552901
RH2M__roll6m,float64,0.017064846416382253
RH2M__z,float64,0.0
T2M,float64,0.0
T2MDEW,float64,0.0
T2MDEW__lag1,float64,0.0034129692832764505
T2MDEW__lag2,float64,0.006825938566552901
T2MDEW__lag3,float64,0.010238907849829351
T2MDEW__roll3m,float64,0.006825938566552901
T2MDEW__roll6m,float64,0.017064846416382253
T2MDEW__z,float64,0.0
T2MWET,float64,0.0
T2MWET__lag1,float64,0.0034129692832764505
T2MWET__lag2,float64,0.006825938566552901
T2MWET__lag3,float64,0.010238907849829351
T2MWET__roll3m,float64,0.006825938566552901
T2MWET__roll6m,float64,0.017064846416382253
T2MWET__z,float64,0.0
T2M_MAX,float64,0.0
T2M_MAX__lag1,float64,0.0034129692832764505
T2M_MAX__lag2,float64,0.006825938566552901
T2M_MAX__lag3,float64,0.010238907849829351
T2M_MAX__roll3m,float64,0.006825938566552901
T2M_MAX__roll6m,float64,0.017064846416382253
T2M_MAX__z,float64,0.0
T2M_MIN,float64,0.0
T2M_MIN__lag1,float64,0.0034129692832764505
T2M_MIN__lag2,float64,0.006825938566552901
T2M_MIN__lag3,float64,0.010238907849829351
T2M_MIN__roll3m,float64,0.006825938566552901
T2M_MIN__roll6m,float64,0.017064846416382253
T2M_MIN__z,float64,0.0
T2M_RANGE,float64,0.0
T2M_RANGE__lag1,float64,0.0034129692832764505
T2M_RANGE__lag2,float64,0.006825938566552901
T2M_RANGE__lag3,float64,0.010238907849829351
T2M_RANGE__roll3m,float64,0.006825938566552901
T2M_RANGE__roll6m,float64,0.017064846416382253
T2M_RANGE__z,float64,0.0
T2M__lag1,float64,0.0034129692832764505
T2M__lag2,float64,0.006825938566552901
T2M__lag3,float64,0.010238907849829351
T2M__roll3m,float64,0.006825938566552901
T2M__roll6m,float64,0.017064846416382253
T2M__z,float64,0.0
TS,float64,0.0
TS__lag1,float64,0.0034129692832764505
TS__lag2,float64,0.006825938566552901
TS__lag3,float64,0.010238907849829351
TS__roll3m,float64,0.006825938566552901
TS__roll6m,float64,0.017064846416382253
TS__z,float64,0.0
URB_2000,float64,0.0
WAT_2000,float64,0.0
WS10M,float64,0.0
WS10M_MAX,float64,0.0
WS10M_MAX__lag1,float64,0.0034129692832764505
WS10M_MAX__lag2,float64,0.006825938566552901
WS10M_MAX__lag3,float64,0.010238907849829351
WS10M_MAX__roll3m,float64,0.006825938566552901
WS10M_MAX__roll6m,float64,0.017064846416382253
WS10M_MAX__z,float64,0.0
WS10M_MIN,float64,0.0
WS10M_MIN__lag1,float64,0.0034129692832764505
WS10M_MIN__lag2,float64,0.006825938566552901
WS10M_MIN__lag3,float64,0.010238907849829351
WS10M_MIN__roll3m,float64,0.006825938566552901
WS10M_MIN__roll6m,float64,0.017064846416382253
WS10M_MIN__z,float64,0.0
WS10M_RANGE,float64,0.0
WS10M_RANGE__lag1,float64,0.0034129692832764505
WS10M_RANGE__lag2,float64,0.006825938566552901
WS10M_RANGE__lag3,float64,0.010238907849829351
WS10M_RANGE__roll3m,float64,0.006825938566552901
WS10M_RANGE__roll6m,float64,0.017064846416382253
WS10M_RANGE__z,float64,0.0
WS10M__lag1,float64,0.0034129692832764505
WS10M__lag2,float64,0.006825938566552901
WS10M__lag3,float64,0.010238907849829351
WS10M__roll3m,float64,0.006825938566552901
WS10M__roll6m,float64,0.017064846416382253
WS10M__z,float64,0.0
WS2M,float64,0.0
WS2M_MAX,float64,0.0
WS2M_MAX__lag1,float64,0.0034129692832764505
WS2M_MAX__lag2,float64,0.006825938566552901
WS2M_MAX__lag3,float64,0.010238907849829351
WS2M_MAX__roll3m,float64,0.006825938566552901
WS2M_MAX__roll6m,float64,0.017064846416382253
WS2M_MAX__z,float64,0.0
WS2M_MIN,float64,0.0
WS2M_MIN__lag1,float64,0.0034129692832764505
WS2M_MIN__lag2,float64,0.006825938566552901
WS2M_MIN__lag3,float64,0.010238907849829351
WS2M_MIN__roll3m,float64,0.006825938566552901
WS2M_MIN__roll6m,float64,0.017064846416382253
WS2M_MIN__z,float64,0.0
WS2M_RANGE,float64,0.0
WS2M_RANGE__lag1,float64,0.0034129692832764505
WS2M_RANGE__lag2,float64,0.006825938566552901
WS2M_RANGE__lag3,float64,0.010238907849829351
WS2M_RANGE__roll3m,float64,0.006825938566552901
WS2M_RANGE__roll6m,float64,0.017064846416382253
WS2M_RANGE__z,float64,0.0
WS2M__lag1,float64,0.0034129692832764505
WS2M__lag2,float64,0.006825938566552901
WS2M__lag3,float64,0.010238907849829351
WS2M__roll3m,float64,0.006825938566552901
WS2M__roll6m,float64,0.017064846416382253
WS2M__z,float64,0.0
YEAR,int64,0.0
block_id,object,0.0
date,object,0.0
ppt_pctl,float64,0.0
sequia,int64,0.0
sq1,int64,0.0
sq2,int64,0.0
sq3,int64,0.0
sq4,int64,0.0
sq5,int64,0.0
sq6,int64,0.0
sq7,int64,0.0
